,label,route,calculated_day,date,hr,weekday,105,100,111,103,122,precipitation
0,147.72333333333336,B_3,236,7-19,8,1,9.364444444444445,5.681111111111111,52.822500000000005,2.5058333333333334,30.864285714285717,0.0
1,148.25333333333333,B_3,237,7-20,8,2,12.67076923076923,9.592307692307694,36.14947368421053,11.691052631578946,63.107000000000006,0.0
2,107.11,B_3,238,7-21,8,3,7.868181818181818,6.561818181818182,31.747142857142855,12.790000000000001,42.614761904761906,0.0
3,155.41666666666666,B_3,239,7-22,8,4,10.668000000000001,7.691999999999999,36.9764705882353,15.18470588235294,37.96904761904762,0.0
4,103.58666666666666,B_3,240,7-23,8,5,11.37,6.97,29.68,10.785909090909092,43.795,0.0
5,67.63666666666667,B_3,241,7-24,8,6,9.719999999999999,7.482857142857142,32.623,8.675,31.590909090909097,0.0
6,115.96,B_3,242,7-25,8,0,9.59764705882353,6.427647058823529,55.417692307692306,10.036923076923078,31.89074074074074,0.0
7,128.46333333333334,B_3,243,7-26,8,1,7.5216666666666665,5.509166666666666,38.282,3.115333333333333,29.393749999999997,0.0
8,109.36666666666666,B_3,244,7-27,8,2,9.028,5.977999999999999,26.102307692307697,10.407692307692308,33.39450000000001,0.0
9,139.31,B_3,245,7-28,8,3,11.944999999999999,9.546666666666669,27.442,3.344,59.017500000000005,0.0
10,164.4333333333333,B_3,246,7-29,8,4,12.888181818181819,7.539090909090908,27.93,13.423076923076922,74.7116,0.0
11,141.24333333333334,B_3,247,7-30,8,5,9.243846153846153,5.806153846153846,22.54222222222222,7.840555555555556,43.54590909090909,0.0
12,154.41333333333333,B_3,248,7-31,8,6,9.585555555555556,6.757777777777778,25.010000000000005,2.2859999999999996,39.94833333333333,0.0
13,142.19,B_3,249,8-1,8,0,11.38642857142857,8.356428571428571,44.78444444444445,3.818333333333334,53.546774193548394,0.0
14,208.74666666666667,B_3,250,8-2,8,1,11.58,6.13,26.558571428571426,4.007142857142857,45.862105263157886,0.0
15,147.66,B_3,251,8-3,8,2,11.07,6.845000000000001,20.82714285714286,11.895714285714284,62.62949999999999,0.0
16,201.9333333333333,B_3,252,8-4,8,3,12.790833333333333,6.528333333333332,34.19421052631579,11.743157894736843,50.14333333333334,0.0
17,158.35,B_3,253,8-5,8,4,10.695000000000002,7.461666666666667,19.503076923076925,3.4784615384615383,48.63294117647058,0.0
18,101.35666666666668,B_3,254,8-6,8,5,12.605714285714285,8.69142857142857,30.799375,2.600625,44.573571428571434,2.0
19,123.24000000000001,B_3,255,8-7,8,6,9.07,7.815000000000001,23.165714285714284,2.4892857142857148,38.123125,0.0
20,146.33333333333334,B_3,256,8-8,8,0,9.702142857142855,7.5442857142857145,52.787619047619046,12.370952380952382,56.037600000000005,0.0
21,93.61500000000001,B_3,257,8-9,8,1,22.55125,6.3075,50.1025,9.025,38.64954545454545,0.0
22,114.91,B_3,258,8-10,8,2,14.99375,10.155000000000001,45.02,6.865454545454544,57.92176470588236,0.0
23,153.28333333333333,B_3,259,8-11,8,3,11.797000000000002,8.157,37.7075,11.254999999999999,58.90363636363636,0.0
24,127.47333333333334,B_3,260,8-12,8,4,11.123333333333333,8.528333333333332,19.926666666666666,6.745555555555555,35.799375,0.0
25,135.87666666666667,B_3,261,8-13,8,5,12.491333333333332,5.905333333333333,23.939444444444444,10.050555555555556,41.91952380952381,0.0
26,120.40333333333335,B_3,262,8-14,8,6,12.869090909090911,9.010909090909092,21.734444444444446,5.420000000000001,36.515,0.0
27,148.15333333333334,B_3,263,8-15,8,0,9.30888888888889,7.165555555555556,42.047,9.161000000000001,83.22894736842105,0.0
28,131.6,B_3,264,8-16,8,1,7.650000000000001,5.83625,37.159,2.539,30.87823529411765,0.0
29,208.0,B_3,265,8-17,8,2,10.888181818181819,6.421818181818182,39.24923076923077,10.586153846153847,29.946111111111115,0.0
