,label,route,calculated_day,date,hr,weekday,105,100,111,103,122,precipitation
0,113.87666666666668,B_3,236,7-19,8,1,9.364444444444445,5.681111111111112,59.63307692307693,2.3884615384615384,32.89681818181819,0.0
1,144.26333333333335,B_3,237,7-20,8,2,12.29846153846154,9.42769230769231,32.34157894736842,14.068947368421053,61.241904761904756,0.0
2,107.115,B_3,238,7-21,8,3,7.868181818181818,6.561818181818182,31.747142857142855,12.790000000000001,43.4285,0.0
3,124.11000000000001,B_3,239,7-22,8,4,10.013636363636364,7.386363636363637,34.993750000000006,11.243125,37.16444444444445,0.0
4,117.86333333333334,B_3,240,7-23,8,5,11.11153846153846,7.013076923076923,26.935714285714283,11.000476190476189,44.3021875,0.0
5,77.70333333333333,B_3,241,7-24,8,6,10.942142857142857,8.358571428571427,36.614,7.031000000000001,33.018095238095235,0.0
6,143.79666666666665,B_3,242,7-25,8,0,9.7575,6.48,58.62826086956522,3.3126086956521745,29.979166666666668,0.0
7,126.00666666666666,B_3,243,7-26,8,1,7.506000000000002,5.407000000000001,33.57230769230769,2.6915384615384617,32.2175,0.0
8,105.54666666666667,B_3,244,7-27,8,2,9.286666666666667,6.122222222222223,27.228181818181817,11.442727272727275,32.43222222222222,0.0
9,142.55333333333334,B_3,245,7-28,8,3,10.024,8.25,25.02,3.44,52.378,0.0
10,166.41666666666666,B_3,246,7-29,8,4,12.888181818181819,7.53909090909091,27.930000000000003,13.423076923076922,73.06400000000001,0.0
11,134.10666666666665,B_3,247,7-30,8,5,9.76,5.9409090909090905,21.4275,7.9818750000000005,41.433,0.0
12,141.98,B_3,248,7-31,8,6,10.35875,7.02375,26.296000000000003,2.6273333333333335,38.869090909090914,0.0
13,144.05999999999997,B_3,249,8-1,8,0,11.38642857142857,8.356428571428571,46.748235294117656,3.8811764705882346,52.237037037037034,0.0
14,167.24,B_3,250,8-2,8,1,11.75857142857143,6.432857142857143,27.934615384615384,4.216153846153846,51.867142857142845,0.0
15,157.27333333333334,B_3,251,8-3,8,2,9.7675,5.6225,21.264166666666664,13.278333333333334,59.02277777777777,0.0
16,167.96666666666667,B_3,252,8-4,8,3,13.008181818181818,6.618181818181818,35.166111111111114,11.991111111111111,49.280869565217394,0.0
17,154.89,B_3,253,8-5,8,4,8.956,6.069999999999999,16.933333333333334,2.7899999999999996,48.34166666666667,0.0
18,88.09333333333332,B_3,254,8-6,8,5,11.905,8.22125,30.99875,2.43625,45.452,2.0
19,111.88333333333333,B_3,255,8-7,8,6,9.07,7.815,24.204615384615387,2.545384615384615,36.59166666666667,0.0
20,170.07000000000002,B_3,256,8-8,8,0,9.458666666666666,7.399333333333334,52.754761904761914,12.344285714285713,52.77636363636364,0.0
21,100.66499999999999,B_3,257,8-9,8,1,12.237142857142857,6.697142857142857,58.258,10.474,36.050526315789476,0.0
22,109.63,B_3,258,8-10,8,2,14.993750000000002,10.155,45.02,6.865454545454545,55.45388888888889,0.0
23,147.23333333333335,B_3,259,8-11,8,3,13.144285714285713,9.15,36.91111111111112,11.648888888888889,58.64529411764707,0.0
24,127.69333333333334,B_3,260,8-12,8,4,11.184999999999999,8.469999999999999,18.731,2.9400000000000004,33.51533333333334,0.0
