,label,route,calculated_day,date,hr,weekday,115,102,109,104,112,111,103,116,101,121,106,113,precipitation
0,155.29999999999998,C_1,236,7-19,8,1,8.965,12.305,13.025000000000002,29.7675,30.0825,53.212500000000006,2.4966666666666666,16.625,7.76,10.899999999999999,1.385,20.924999999999997,0.0
1,191.02499999999998,C_1,237,7-20,8,2,15.994285714285715,11.14857142857143,11.054285714285713,27.725714285714282,20.262857142857143,36.995714285714286,11.203809523809522,21.238571428571426,18.964285714285715,15.537142857142856,1.8842857142857141,22.017142857142858,0.0
2,158.85666666666668,C_1,238,7-21,8,3,9.853333333333333,11.21,11.466666666666667,25.16,15.066666666666665,29.902500000000003,13.119375000000002,15.4025,7.904999999999999,11.56875,1.7662499999999999,42.0175,0.0
3,195.86333333333334,C_1,239,7-22,8,4,9.0425,11.0775,10.51375,22.407500000000002,21.79625,38.22176470588235,11.377647058823529,24.889999999999997,11.459999999999999,8.84142857142857,0.9857142857142857,15.388571428571426,0.0
4,222.8066666666667,C_1,240,7-23,8,5,18.19666666666667,12.409999999999998,12.431666666666667,27.19666666666667,19.463333333333335,26.613157894736844,4.970526315789473,15.538333333333334,7.368333333333333,10.88,1.4816666666666667,24.261666666666667,0.0
5,145.15,C_1,241,7-24,8,6,15.280000000000001,13.2,13.496,26.024,20.285999999999998,34.165263157894735,9.09842105263158,17.512,8.218,11.524,1.5079999999999998,15.25,0.0
6,170.92999999999998,C_1,242,7-25,8,0,9.9775,11.50375,12.0,25.35625,28.228749999999998,52.546800000000005,10.281600000000001,16.952999999999996,8.190999999999999,14.808000000000002,1.337,18.226,0.0
7,173.175,C_1,243,7-26,8,1,7.906666666666666,8.156666666666668,8.1,21.389999999999997,14.836666666666666,38.282000000000004,3.1153333333333335,15.046666666666667,7.426666666666667,24.060000000000002,1.67,36.24333333333333,0.0
8,135.13,C_1,244,7-27,8,2,9.035,11.2875,11.9775,25.75,18.495,24.584615384615386,10.490000000000002,23.072000000000003,10.834,15.219999999999999,1.934,35.51800000000001,0.0
9,200.56,C_1,245,7-28,8,3,7.557499999999999,8.782499999999999,9.04,22.4275,21.98,25.929090909090913,3.2072727272727275,20.61,10.0,20.427500000000002,1.9575,20.434999999999995,0.0
10,137.06,C_1,246,7-29,8,4,11.15,12.254999999999999,13.370000000000001,32.54,25.97,25.545384615384616,19.913846153846155,28.05,13.09,34.17,1.37,13.04,0.0
11,231.185,C_1,247,7-30,8,5,8.290000000000001,9.265,10.6525,25.900000000000002,19.8125,20.700555555555557,7.617222222222223,19.467142857142857,19.351428571428574,26.242857142857144,1.5014285714285711,35.567142857142855,0.0
12,124.21,C_1,248,7-31,8,6,8.095,10.17,10.408333333333333,30.33,22.006666666666664,26.312142857142852,2.3571428571428577,19.08111111111111,8.626666666666665,16.314444444444444,1.63,24.76111111111111,0.0
13,164.90666666666667,C_1,249,8-1,8,0,15.2175,17.745,12.7325,28.042499999999997,19.685,45.708421052631586,3.770526315789473,15.916,14.235999999999999,14.604,1.3679999999999999,12.434000000000001,0.0
14,149.04,C_1,250,8-2,8,1,10.947142857142854,12.542857142857141,11.944285714285714,23.59285714285715,26.08571428571429,30.611874999999998,3.8474999999999997,13.117142857142856,6.178571428571429,14.772857142857143,1.3814285714285717,23.090000000000003,0.0
15,153.135,C_1,251,8-3,8,2,9.974285714285713,12.77,11.891428571428571,34.971428571428575,18.268571428571427,24.638571428571428,11.312857142857144,13.931666666666667,6.086666666666667,9.475,1.1649999999999998,17.154999999999998,0.0
16,163.34333333333333,C_1,252,8-4,8,3,11.04125,12.73125,13.370000000000001,31.637500000000003,34.863749999999996,35.92,7.920555555555556,15.758,37.135999999999996,13.918000000000001,1.1,22.698,0.0
17,162.64666666666665,C_1,253,8-5,8,4,10.95142857142857,12.765714285714285,20.827142857142857,24.321428571428573,17.112857142857145,19.50307692307692,3.4784615384615383,14.854444444444445,6.512222222222223,18.692222222222224,1.4833333333333334,21.564444444444444,0.0
18,167.14333333333335,C_1,254,8-6,8,5,10.596666666666666,12.11111111111111,12.16777777777778,26.447777777777777,24.32333333333333,30.799374999999998,2.600625,21.84222222222222,13.651111111111113,22.033333333333335,2.908888888888889,22.878888888888888,2.0
19,191.13333333333333,C_1,255,8-7,8,6,8.282499999999999,9.13625,9.4175,22.91375,18.677500000000002,23.619999999999997,2.6876470588235297,18.759999999999998,9.522857142857143,15.687142857142858,17.83857142857143,65.74714285714286,0.0
20,181.97666666666666,C_1,256,8-8,8,0,11.351111111111111,13.221111111111112,12.762222222222224,31.68333333333333,25.73777777777778,49.97416666666667,11.155416666666667,19.0875,9.9625,13.61,1.6475,17.552500000000002,0.0
21,360.18333333333334,C_1,257,8-9,8,1,11.932500000000001,9.047500000000001,9.4525,22.240000000000002,32.2425,48.600000000000016,8.803333333333333,20.27,8.733333333333334,12.63,1.7366666666666666,57.60666666666666,0.0
22,147.14,C_1,258,8-10,8,2,13.143333333333333,16.09,16.583333333333332,38.24666666666667,15.13,45.065,7.32,15.283333333333331,6.646666666666666,9.173333333333334,1.1666666666666667,11.193333333333333,0.0
23,208.66,C_1,259,8-11,8,3,9.88,9.42,10.65,23.72,15.92,39.798181818181824,5.132727272727272,21.765,11.045,79.31,1.465,37.725,0.0
24,127.34,C_1,260,8-12,8,4,10.58,11.463333333333333,11.31,26.043333333333333,22.429999999999996,19.151999999999997,6.784999999999999,25.2125,11.7275,19.872500000000002,3.0050000000000003,28.715000000000003,0.0
25,224.05333333333337,C_1,261,8-13,8,5,10.933333333333335,10.049999999999999,9.466666666666667,21.78333333333333,50.29,24.5015,9.371,13.636666666666665,5.989999999999999,10.403333333333334,1.0733333333333333,12.276666666666666,0.0
26,160.92000000000002,C_1,262,8-14,8,6,8.958571428571428,9.437142857142858,10.739999999999998,23.695714285714285,23.845714285714287,22.520476190476188,5.024761904761904,16.499166666666667,6.927499999999999,18.734166666666667,2.919166666666666,35.580000000000005,0.0
27,253.57,C_1,265,8-17,8,2,8.745000000000001,10.18,10.04,22.33,35.245000000000005,42.083076923076916,10.626923076923077,18.463333333333335,8.683333333333334,11.696666666666667,1.3766666666666667,33.72,0.0
28,106.11,C_1,267,8-19,8,4,9.035,9.45,9.355,24.924999999999997,37.21,40.629374999999996,3.0143750000000002,22.314999999999998,15.945,34.33,1.545,14.18,0.0
29,158.5,C_1,268,8-20,8,5,9.62,8.48,7.29,18.33,15.04,24.142222222222223,4.974444444444444,15.864999999999998,8.02,11.96,1.52,82.315,0.0
