,label,route,calculated_day,date,hr,weekday,115,102,109,104,112,111,103,122,precipitation
0,194.43,C_3,328,10-18,8,1,9.291111111111112,36.812222222222225,10.83,41.14666666666667,27.29625,22.267250673854445,6.752506738544474,30.552000000000007,0.0
1,188.85999999999999,C_3,329,10-19,8,2,6.283333333333333,8.34,8.135,19.785,15.72166666666667,20.9596174863388,7.966311475409835,31.39741379310345,1.0
2,168.17000000000002,C_3,330,10-20,8,3,10.578,18.864,69.286,67.678,27.289999999999996,25.585924657534246,7.2679109589041095,29.23772727272728,0.0
3,169.465,C_3,331,10-21,8,4,8.99,14.816249999999997,9.66,24.72625,42.458333333333336,22.878674698795177,10.383614457831323,30.707547169811324,0.5
4,196.43,C_3,332,10-22,8,5,11.426666666666668,13.003333333333334,12.396666666666663,22.243333333333336,16.729999999999997,27.790176470588236,4.473,38.455128205128204,0.1
5,null,C_3,333,10-23,8,6,9.171249999999999,9.88,8.305,19.18125,20.369999999999997,22.378069306930687,11.806039603960397,38.137499999999996,0.0
6,141.63,C_3,334,10-24,8,0,10.770000000000001,11.036428571428573,11.332857142857142,40.06538461538462,26.87416666666667,27.880239043824698,2.6133466135458168,38.5296,0.0
7,179.8066666666667,C_3,328,10-18,9,1,9.291111111111112,36.812222222222225,10.83,41.14666666666667,27.29625,22.267250673854445,6.752506738544474,30.552000000000007,1.8
8,173.5633333333333,C_3,329,10-19,9,2,6.283333333333333,8.34,8.135,19.785,15.72166666666667,20.9596174863388,7.966311475409835,31.39741379310345,0.2
9,178.85500000000002,C_3,330,10-20,9,3,10.578,18.864,69.286,67.678,27.289999999999996,25.585924657534246,7.2679109589041095,29.23772727272728,0.0
10,131.27333333333334,C_3,331,10-21,9,4,8.99,14.816249999999997,9.66,24.72625,42.458333333333336,22.878674698795177,10.383614457831323,30.707547169811324,0.0
11,147.81666666666666,C_3,332,10-22,9,5,11.426666666666668,13.003333333333334,12.396666666666663,22.243333333333336,16.729999999999997,27.790176470588236,4.473,38.455128205128204,3.1
12,152.61,C_3,333,10-23,9,6,9.171249999999999,9.88,8.305,19.18125,20.369999999999997,22.378069306930687,11.806039603960397,38.137499999999996,0.0
13,155.76,C_3,334,10-24,9,0,10.770000000000001,11.036428571428573,11.332857142857142,40.06538461538462,26.87416666666667,27.880239043824698,2.6133466135458168,38.5296,0.0
14,189.83,C_3,328,10-18,17,1,12.858749999999999,12.59,12.22625,29.626875000000002,23.496,26.767152173913047,3.4085652173913044,37.00878378378378,0.1
15,147.035,C_3,329,10-19,17,2,10.215384615384615,11.628461538461542,9.226153846153846,28.565384615384616,31.079230769230772,33.293887733887736,5.507359667359667,39.706582278481015,1.5
16,151.93666666666667,C_3,330,10-20,17,3,11.94,10.6175,9.26,22.66375,23.43733333333333,36.214911392405064,6.692658227848101,36.31897435897435,1.0
17,224.38,C_3,331,10-21,17,4,12.232962962962963,11.24925925925926,10.324444444444445,30.589259259259258,34.63777777777778,28.670990502035277,6.545902306648575,39.49423423423422,0.0
18,204.04666666666665,C_3,332,10-22,17,5,14.09076923076923,14.791923076923078,11.893076923076926,33.71846153846154,32.86,26.71011695906433,5.86849478390462,40.17674698795181,1.6
19,199.77499999999998,C_3,333,10-23,17,6,12.225600000000002,11.488000000000001,11.604399999999998,33.8908,31.0804,30.23425076452599,6.594174311926606,34.991789473684214,0.0
20,146.39666666666665,C_3,334,10-24,17,0,10.980666666666666,9.502666666666666,9.572,23.38133333333333,28.81133333333333,28.1788376753507,6.111322645290581,30.35793650793651,0.0
21,144.68,C_3,328,10-18,18,1,12.858749999999999,12.59,12.22625,29.626875000000002,23.496,26.767152173913047,3.4085652173913044,37.00878378378378,1.3
22,189.28,C_3,329,10-19,18,2,10.215384615384615,11.628461538461542,9.226153846153846,28.565384615384616,31.079230769230772,33.293887733887736,5.507359667359667,39.706582278481015,0.1
23,211.71,C_3,330,10-20,18,3,11.94,10.6175,9.26,22.66375,23.43733333333333,36.214911392405064,6.692658227848101,36.31897435897435,0.0
24,244.26666666666665,C_3,331,10-21,18,4,12.232962962962963,11.24925925925926,10.324444444444445,30.589259259259258,34.63777777777778,28.670990502035277,6.545902306648575,39.49423423423422,1.3
25,211.05000000000004,C_3,332,10-22,18,5,14.09076923076923,14.791923076923078,11.893076923076926,33.71846153846154,32.86,26.71011695906433,5.86849478390462,40.17674698795181,0.0
26,178.935,C_3,333,10-23,18,6,12.225600000000002,11.488000000000001,11.604399999999998,33.8908,31.0804,30.23425076452599,6.594174311926606,34.991789473684214,0.0
27,109.12,C_3,334,10-24,18,0,10.980666666666666,9.502666666666666,9.572,23.38133333333333,28.81133333333333,28.1788376753507,6.111322645290581,30.35793650793651,0.0
