,label,route,calculated_day,date,hr,weekday,110,123,107,108,120,117,precipitation
0,76.83,A_2,236,7-19,8,1,13.638,7.109,4.83875,10.0735,1.1703448275862067,36.167931034482756,0.0
1,134.73,A_2,237,7-20,8,2,16.28648648648649,8.702432432432433,5.598918918918918,6.2305405405405425,1.1875,46.46035714285715,0.0
2,113.90333333333332,A_2,238,7-21,8,3,17.050545454545453,9.514363636363633,6.6303636363636365,9.572545454545457,1.5106976744186045,53.234186046511624,0.0
3,73.60666666666667,A_2,239,7-22,8,4,13.734418604651161,7.742558139534884,5.427209302325583,5.768372093023256,2.8361111111111112,61.35111111111111,0.0
4,93.91333333333334,A_2,240,7-23,8,5,13.598125,6.9852083333333335,4.688958333333333,4.9725,0.8487096774193548,51.92709677419354,0.0
5,66.76,A_2,241,7-24,8,6,11.549615384615386,6.676153846153847,4.806538461538462,6.670384615384616,1.1774999999999998,41.07000000000001,0.0
6,158.44,A_2,242,7-25,8,0,12.39125,7.460416666666667,5.4025,6.876666666666666,1.1366666666666665,67.47666666666667,0.0
7,87.35666666666668,A_2,243,7-26,8,1,12.96891891891892,7.8802702702702705,6.013783783783784,5.53162162162162,3.88741935483871,42.97032258064515,0.0
8,126.57,A_2,244,7-27,8,2,13.2695,7.5230000000000015,5.03375,6.14425,1.3083333333333331,58.01066666666666,0.0
9,79.42666666666666,A_2,245,7-28,8,3,13.585294117647061,8.027647058823531,4.848529411764706,6.291176470588236,1.2389473684210526,44.80105263157896,0.0
10,112.48666666666668,A_2,246,7-29,8,4,12.925,7.026363636363637,9.28227272727273,5.754999999999999,0.9261290322580644,26.408709677419353,0.0
11,89.17999999999998,A_2,247,7-30,8,5,11.243611111111115,6.1191666666666675,3.9661111111111116,4.916944444444444,0.87,36.554,0.0
12,67.95666666666666,A_2,248,7-31,8,6,11.323478260869566,5.756521739130435,4.006086956521739,5.147826086956521,0.91,32.620625000000004,0.0
13,114.39666666666666,A_2,249,8-1,8,0,16.359333333333332,8.124,6.989333333333334,6.173333333333333,1.1532608695652171,64.295,0.0
14,93.74333333333334,A_2,250,8-2,8,1,17.381555555555554,7.666444444444445,6.777555555555557,5.840222222222222,1.280333333333333,53.81633333333333,0.0
15,130.27333333333334,A_2,251,8-3,8,2,12.141944444444444,7.220277777777778,6.302499999999998,5.416111111111111,1.0617391304347827,35.269565217391296,0.0
16,85.25333333333333,A_2,252,8-4,8,3,14.995277777777774,7.303611111111111,5.913611111111112,6.216666666666668,1.0246153846153847,41.24615384615385,0.0
17,84.69999999999997,A_2,253,8-5,8,4,13.96,6.498857142857143,5.158285714285714,4.885428571428571,0.7725000000000001,23.8785,0.0
18,64.79333333333334,A_2,254,8-6,8,5,12.47631578947368,7.065263157894738,4.741315789473687,4.987894736842105,0.8045161290322579,37.46677419354839,2.0
19,58.50666666666666,A_2,255,8-7,8,6,12.37125,6.0559375000000015,3.8709375,4.8690625,0.8045454545454546,21.36363636363636,0.0
20,113.07333333333334,A_2,256,8-8,8,0,13.15904761904762,7.560238095238095,4.979047619047619,5.4454761904761915,0.9194117647058824,30.601470588235287,0.0
21,109.54333333333334,A_2,257,8-9,8,1,12.58,7.259677419354838,4.743225806451614,5.747096774193548,0.9425,28.818,0.0
22,67.11,A_2,258,8-10,8,2,12.698888888888893,7.881944444444446,5.0330555555555545,8.04861111111111,4.684230769230768,32.93653846153846,0.0
