,label,route,calculated_day,date,hr,weekday,105,100,111,103,116,101,121,106,113,precipitation
0,97.56,B_1,236,7-19,8,1,9.364444444444443,5.681111111111113,59.63307692307693,2.3884615384615384,17.07,7.9700000000000015,11.19,1.4249999999999998,13.26,0.0
1,212.31,B_1,237,7-20,8,2,12.29846153846154,9.427692307692311,32.34157894736842,14.068947368421053,25.23714285714286,8.25,16.365714285714287,1.695714285714286,20.20428571428571,0.0
2,129.945,B_1,238,7-21,8,3,7.868181818181817,6.561818181818182,31.747142857142855,12.79,13.14,6.7266666666666675,10.238333333333333,1.6766666666666667,31.285,0.0
3,94.87,B_1,240,7-23,8,5,11.11153846153846,7.013076923076923,26.935714285714283,11.000476190476189,15.316666666666668,7.215,10.663333333333334,1.4533333333333334,22.92,0.0
4,123.57,B_1,241,7-24,8,6,10.942142857142857,8.358571428571429,36.614000000000004,7.0310000000000015,16.614,7.773999999999999,11.027999999999999,1.444,14.732000000000001,0.0
5,98.38,B_1,242,7-25,8,0,9.7575,6.48,58.62826086956522,3.3126086956521745,16.965,8.16875,15.30375,1.25,15.36625,0.0
6,179.0,B_1,244,7-27,8,2,9.286666666666667,6.122222222222222,27.228181818181817,11.442727272727275,18.78,7.989999999999998,11.46,1.49,44.42333333333334,0.0
7,23.1,B_1,245,7-28,8,3,10.024,8.25,25.02,3.44,18.326666666666668,9.06,14.74,2.293333333333333,24.21333333333333,0.0
8,142.26,B_1,246,7-29,8,4,12.88818181818182,7.53909090909091,27.930000000000003,13.423076923076923,28.05,13.09,34.17,1.37,13.04,0.0
9,110.38,B_1,247,7-30,8,5,9.76,5.9409090909090905,21.4275,7.981875,22.142857142857146,19.41714285714286,16.12,1.727142857142857,36.86142857142857,0.0
10,98.62,B_1,248,7-31,8,6,10.35875,7.02375,26.296000000000006,2.627333333333333,17.740909090909096,8.051818181818179,14.743636363636368,1.5109090909090908,21.984545454545454,0.0
11,97.94333333333334,B_1,250,8-2,8,1,11.758571428571429,6.432857142857142,27.934615384615388,4.216153846153847,14.252857142857142,6.708571428571428,15.518571428571427,1.477142857142857,27.262857142857147,0.0
12,102.785,B_1,252,8-4,8,3,13.008181818181818,6.618181818181817,35.166111111111114,11.991111111111113,14.872,36.722,13.786,1.128,22.814,0.0
13,126.9,B_1,253,8-5,8,4,8.956,6.0699999999999985,16.933333333333334,2.79,14.494444444444444,6.295555555555557,18.518888888888885,1.57,23.792222222222218,0.0
14,91.63,B_1,254,8-6,8,5,11.905,8.22125,30.99875,2.43625,17.61375,9.64375,23.285,3.19125,24.96125,2.0
15,139.975,B_1,255,8-7,8,6,9.07,7.815,24.204615384615394,2.5453846153846156,19.712,9.526,17.2,24.331999999999997,86.15,0.0
16,115.84999999999998,B_1,256,8-8,8,0,9.458666666666666,7.399333333333334,52.75476190476193,12.344285714285713,18.48428571428571,8.904285714285715,10.495714285714287,1.687142857142857,19.02428571428572,0.0
17,150.67,B_1,257,8-9,8,1,12.237142857142857,6.6971428571428575,58.258,10.474,28.585,11.895,40.54,1.59,11.77,0.0
18,125.05,B_1,258,8-10,8,2,14.993750000000002,10.155,45.02,6.865454545454545,15.283333333333333,6.6466666666666665,9.173333333333334,1.1666666666666667,11.193333333333333,0.0
19,154.85,B_1,259,8-11,8,3,13.144285714285711,9.15,36.91111111111112,11.648888888888886,23.265,10.855,11.975,1.665,15.98,0.0
20,120.445,B_1,260,8-12,8,4,11.185,8.469999999999999,18.730999999999998,2.9400000000000004,23.662,11.005999999999998,26.146000000000004,2.56,24.471999999999998,0.0
21,126.15333333333336,B_1,261,8-13,8,5,9.977857142857145,5.426428571428572,23.66647058823529,13.938235294117645,12.7075,5.66,10.0375,1.1125,13.7225,0.0
22,100.745,B_1,262,8-14,8,6,10.565999999999999,7.77,16.619374999999998,5.395625,16.84090909090909,6.8981818181818175,19.38818181818182,3.0081818181818183,34.58909090909091,0.0
23,100.49,B_1,263,8-15,8,0,9.308888888888891,7.165555555555555,42.047,9.161,19.133333333333336,7.4300000000000015,24.07666666666667,1.3033333333333337,29.91,0.0
24,101.06,B_1,264,8-16,8,1,7.883333333333334,5.7855555555555584,38.734545454545454,2.74,20.06,14.05,35.97666666666667,1.93,36.25,0.0
25,149.225,B_1,265,8-17,8,2,11.28,6.414,25.69,9.989230769230767,17.74,8.426666666666668,11.886666666666665,1.5166666666666668,36.67666666666667,0.0
26,104.58,B_1,266,8-18,8,3,9.9725,7.22,22.86625,4.0687500000000005,18.1,7.04,10.86,1.5550000000000002,31.495,0.0
27,99.37,B_1,268,8-20,8,5,11.892857142857142,6.348571428571428,22.74,4.9044444444444455,16.365,8.375,12.67,1.66,101.26,0.0
28,159.255,B_1,269,8-21,8,6,8.251111111111111,6.086666666666668,26.920000000000005,5.739,25.48,11.55,15.85,2.1166666666666667,27.163333333333334,0.0
29,81.66,B_1,272,8-24,8,2,16.037499999999998,7.6,33.72,4.69888888888889,14.170000000000002,6.8,30.31,1.6266666666666667,14.15,0.0
30,133.38,B_1,273,8-25,8,3,9.375714285714283,7.024285714285715,31.017142857142858,5.532857142857144,20.21,8.61,12.525,1.665,57.76000000000001,0.0
31,123.79,B_1,275,8-27,8,5,9.095,6.906999999999999,30.74583333333333,6.590833333333332,15.55,7.67,14.3,1.82,36.25,0.0
32,106.005,B_1,280,9-1,8,3,15.569090909090908,6.168181818181817,16.21625,3.7458333333333336,13.45,9.443,38.52,2.0035000000000003,17.1785,0.0
33,137.64,B_1,281,9-2,8,4,11.9375,5.9825,15.488000000000005,9.9585,13.322666666666665,6.426,39.570666666666654,1.6566666666666665,21.442666666666664,0.0
34,116.035,B_1,282,9-3,8,5,13.008181818181818,8.43818181818182,20.489545454545453,4.045909090909091,15.239444444444445,12.109444444444444,22.25611111111111,1.5366666666666666,19.778333333333336,0.0
35,100.49,B_1,283,9-4,8,6,10.788333333333336,5.0,13.407142857142858,9.495714285714287,17.278,11.43,17.956,1.3079999999999998,11.474,0.0
36,85.95666666666666,B_1,284,9-5,8,0,8.790000000000001,5.286666666666666,12.704999999999998,10.074166666666667,17.689999999999994,12.1175,16.47625,1.6324999999999998,26.545,0.0
37,76.81,B_1,285,9-6,8,1,7.56,5.539999999999999,17.6075,8.615,18.28333333333333,20.203333333333333,9.206666666666667,1.413333333333333,39.78666666666667,0.0
38,101.48,B_1,286,9-7,8,2,8.508333333333335,5.654166666666666,18.588,7.3805,16.9125,10.5175,19.913333333333334,3.3558333333333343,21.98583333333333,0.0
39,120.78000000000002,B_1,287,9-8,8,3,7.7525,5.835,20.7625,4.969166666666667,17.224545454545453,7.314545454545455,28.119090909090914,1.3581818181818182,16.08,0.0
40,105.52,B_1,288,9-9,8,4,9.782307692307693,5.614999999999998,42.18937500000001,3.60875,17.62625,9.28,18.49625,2.01125,23.305,0.0
41,122.05,B_1,289,9-10,8,5,11.734736842105265,7.8221052631578925,34.40559999999999,6.8332,16.99875,8.35125,15.14625,5.9700000000000015,20.88375,0.0
42,127.18333333333332,B_1,290,9-11,8,6,11.490476190476194,7.480476190476189,21.92,3.9061290322580646,15.20684210526316,14.178421052631581,22.074736842105263,2.663684210526316,21.343157894736844,0.0
43,154.55333333333334,B_1,291,9-12,8,0,10.37375,7.66125,29.13933333333333,7.224666666666666,20.275,12.4925,28.13125,1.8925,27.442499999999995,0.0
44,113.18,B_1,292,9-13,8,1,13.264,8.347999999999999,32.057272727272725,8.052727272727273,18.181666666666672,7.935833333333334,20.928333333333327,1.3825,15.918333333333333,0.0
45,148.49333333333334,B_1,293,9-14,8,2,11.287142857142856,6.890714285714287,29.18882352941177,3.997647058823529,19.648333333333333,7.563333333333333,25.705,1.3133333333333332,20.921666666666667,0.8
46,126.19333333333334,B_1,297,9-18,8,6,10.16090909090909,6.895999999999999,27.47533333333333,9.412666666666665,15.594285714285714,7.5914285714285725,12.894285714285711,1.8642857142857143,21.434285714285718,0.0
47,130.4,B_1,298,9-19,8,0,11.452857142857145,9.647857142857145,23.440416666666664,2.7325,14.434444444444445,7.338333333333334,17.19,3.275555555555556,18.291666666666668,0.0
48,156.54333333333332,B_1,299,9-20,8,1,17.49692307692308,6.207692307692307,27.246842105263163,7.562631578947368,26.56888888888889,7.628888888888889,11.747777777777774,1.6022222222222224,18.08111111111111,0.0
49,98.565,B_1,300,9-21,8,2,9.7,5.535,20.843636363636364,8.293636363636365,18.104615384615386,8.856153846153846,21.47384615384616,2.1553846153846155,17.105384615384615,0.0
50,127.23666666666668,B_1,301,9-22,8,3,12.58,8.07,30.945,3.656111111111111,20.97,9.23375,20.20875,1.4625,26.911250000000006,0.0
51,133.75333333333333,B_1,302,9-23,8,4,15.20611111111111,9.332352941176467,31.96869565217392,9.73739130434783,17.93769230769231,6.953076923076923,20.056153846153848,1.576153846153846,19.11846153846154,0.0
52,133.44,B_1,303,9-24,8,5,11.427999999999999,8.952857142857143,25.3795,4.413500000000001,14.665999999999999,6.854000000000001,30.180999999999997,1.751,26.483000000000004,0.0
53,120.92666666666666,B_1,304,9-25,8,6,13.322727272727274,7.96818181818182,21.680625,10.83875,17.176666666666666,7.336666666666668,16.648333333333333,1.1633333333333336,17.685,0.0
54,190.74,B_1,305,9-26,8,0,9.380555555555556,6.0166666666666675,26.15814814814815,3.296666666666667,16.083750000000002,8.7825,15.325,1.5724999999999998,24.12625,0.0
55,136.285,B_1,306,9-27,8,1,10.287333333333333,6.293333333333334,25.541,6.338421052631579,16.665714285714284,12.31125,15.995,1.28625,24.9925,0.0
56,111.97333333333334,B_1,307,9-28,8,2,16.812666666666665,8.079333333333333,24.675454545454546,9.18,15.183000000000002,8.501,17.535000000000004,1.717,29.689,5.5
57,113.16333333333334,B_1,308,9-29,8,3,25.906,15.918,20.738000000000003,11.527333333333335,17.936666666666667,9.065,22.134999999999994,1.9383333333333328,31.90333333333333,0.1
58,128.5533333333333,B_1,309,9-30,8,4,19.4735294117647,6.4125000000000005,27.109444444444453,23.90888888888889,17.55,8.247142857142856,21.45714285714286,1.9342857142857144,27.60125,0.0
59,92.25,B_1,318,10-8,8,5,12.338666666666665,7.000666666666665,26.142631578947373,6.292105263157893,13.715,7.333999999999999,17.214000000000002,2.096,24.8,0.0
60,155.385,B_1,319,10-9,8,6,10.122727272727273,8.171818181818182,26.941111111111113,3.4261111111111107,21.755,7.665000000000001,11.838,3.758000000000001,22.959,0.0
